FNo,ObjectCount,Time,Type,start,end,ObjectColour
1383,0,0,NA,NA,NA,NA
1384,0,0,NA,NA,NA,NA
1385,0,0,NA,NA,NA,NA
1386,0,0,NA,NA,NA,NA
1387,0,0.539,NA,NA,NA,NA
1388,0,0,NA,NA,NA,NA
1389,0,0,NA,NA,NA,NA
1390,0,0,NA,NA,NA,NA
1391,0,0,NA,NA,NA,NA
1392,0,0,NA,NA,NA,NA
1393,0,0,NA,NA,NA,NA
1394,0,0,NA,NA,NA,NA
1395,0,0,NA,NA,NA,NA
1396,0,0,NA,NA,NA,NA
1397,0,0,NA,NA,NA,NA
1398,0,0,NA,NA,NA,NA
1399,0,0,NA,NA,NA,NA
1400,0,0,NA,NA,NA,NA
1401,0,0,NA,NA,NA,NA
1402,0,0.16,NA,NA,NA,NA
1403,0,0,NA,NA,NA,NA
1404,0,0,NA,NA,NA,NA
1405,0,0,NA,NA,NA,NA
1406,0,0,NA,NA,NA,NA
1407,0,0,NA,NA,NA,NA
1408,0,0,NA,NA,NA,NA
1409,0,0.999,NA,NA,NA,NA
1410,0,0,NA,NA,NA,NA
1411,0,0,NA,NA,NA,NA
1412,0,0,NA,NA,NA,NA
1413,0,0,NA,NA,NA,NA
1414,0,0.13,NA,NA,NA,NA
1415,0,0,NA,NA,NA,NA
1416,0,0,NA,NA,NA,NA
1417,0,0,NA,NA,NA,NA
1418,0,0,NA,NA,NA,NA
1419,0,0,NA,NA,NA,NA
1420,0,0,NA,NA,NA,NA
1421,0,0,NA,NA,NA,NA
1422,0,1.002,NA,NA,NA,NA
1423,0,0,NA,NA,NA,NA
1424,0,0.997,NA,NA,NA,NA
1425,0,1.02,NA,NA,NA,NA
1426,0,0,NA,NA,NA,NA
1427,0,0,NA,NA,NA,NA
1428,0,0,NA,NA,NA,NA
1429,0,0,NA,NA,NA,NA
1430,0,0,NA,NA,NA,NA
1431,0,0,NA,NA,NA,NA
1432,0,0,NA,NA,NA,NA
1433,0,0,NA,NA,NA,NA
1434,0,0,NA,NA,NA,NA
1435,0,0,NA,NA,NA,NA
1436,0,0,NA,NA,NA,NA
1437,1,219.324,Sedan,"(95, 187)","(292, 360)",Blue
1438,1,172.25,Sedan,"(92, 188)","(266, 360)",Blue
1439,1,210.528,Sedan,"(92, 181)","(259, 360)",Blue
1440,1,192.012,Sedan,"(82, 193)","(227, 360)",Blue
1441,1,171.999,Sedan,"(100, 184)","(214, 360)",Blue
1442,1,182.993,Hatchback,"(88, 189)","(188, 348)",Blue
1443,1,182.995,Hatchback,"(103, 186)","(128, 358)",Blue
1444,1,167.86,Hatchback,"(103, 185)","(140, 322)",Blue
1445,1,161.694,Hatchback,"(103, 186)","(118, 306)",Blue
1446,1,192.427,Hatchback,"(101, 185)","(94, 281)",Blue
1447,1,212.277,Hatchback,"(102, 182)","(94, 259)",Blue
1448,1,163.522,Hatchback,"(102, 185)","(65, 243)",Blue
1449,1,191.908,Hatchback,"(101, 184)","(43, 220)",Blue
1450,1,151.404,Hatchback,"(102, 181)","(33, 202)",Blue
1451,1,232.603,Hatchback,"(100, 183)","(8, 181)",Blue
1452,1,163.598,Hatchback,"(100, 184)","(0, 163)",Blue
1453,1,169.802,Hatchback,"(105, 179)","(0, 137)",Blue
1454,1,153.306,Hatchback,"(100, 178)","(0, 124)",Blue
1455,1,174.12,Hatchback,"(104, 180)","(0, 100)",Blue
1456,1,210.075,Sedan,"(101, 181)","(0, 79)",Blue
1457,1,189.866,Sedan,"(96, 182)","(0, 65)",Blue
1458,1,202.199,Sedan,"(82, 182)","(2, 48)",Blue
1459,0,0,NA,NA,NA,NA
1460,0,0,NA,NA,NA,NA
1461,0,0,NA,NA,NA,NA
1462,0,0,NA,NA,NA,NA
1463,0,0,NA,NA,NA,NA
1464,0,0,NA,NA,NA,NA
1465,0,0,NA,NA,NA,NA
1466,0,0,NA,NA,NA,NA
1467,0,0,NA,NA,NA,NA
1468,0,0,NA,NA,NA,NA
1469,0,0,NA,NA,NA,NA
1470,1,191.181,Sedan,"(158, 258)","(0, 80)",Silver
1471,0,0,NA,NA,NA,NA
1472,1,200.988,Hatchback,"(166, 255)","(1, 122)",Silver
1473,1,213.998,Hatchback,"(179, 248)","(7, 138)",Silver
1474,0,0,NA,NA,NA,NA
1475,1,226.094,Hatchback,"(153, 259)","(24, 179)",Silver
1476,1,232.835,Hatchback,"(154, 258)","(50, 204)",Silver
1477,1,212.095,Hatchback,"(174, 253)","(77, 219)",Silver
1478,0,0,NA,NA,NA,NA
1479,1,174.999,Hatchback,"(155, 257)","(107, 263)",Silver
1480,1,209,Hatchback,"(156, 258)","(137, 289)",Silver
1481,1,223.997,Hatchback,"(157, 259)","(158, 304)",Silver
1482,1,192.099,Hatchback,"(161, 258)","(179, 326)",Silver
1483,1,171.569,Hatchback,"(159, 258)","(195, 347)",Silver
1484,1,199.044,Hatchback,"(172, 257)","(213, 358)",Silver
1485,0,0,NA,NA,NA,NA
1486,0,0,NA,NA,NA,NA
1487,0,0,NA,NA,NA,NA
1488,0,0,NA,NA,NA,NA
1489,0,0,NA,NA,NA,NA
1490,0,0,NA,NA,NA,NA
1491,0,0,NA,NA,NA,NA
1492,0,0,NA,NA,NA,NA
1493,0,0,NA,NA,NA,NA
1494,0,0,NA,NA,NA,NA
