FNo,ObjectCount,Time
242,0,487.815
243,0,540.377
244,0,502.132
245,0,487.754
246,0,497.465
247,0,467.731
248,0,466.33799999999997
249,0,501.676
250,0,475.138
251,0,532.2529999999999
252,0,540.796
253,0,541.937
254,0,546.6750000000001
255,0,468.38800000000003
256,0,490.926
257,0,502.405
258,0,777.448
259,0,592.895
260,0,558.8149999999999
261,0,499.378
262,0,523.778
263,0,474.47299999999996
264,0,474.514
265,0,511.54200000000003
266,0,509.00900000000007
267,0,487.219
268,0,470.098
269,0,501.40799999999996
270,0,481.84900000000005
271,0,469.048
272,0,478.586
273,0,477.744
274,0,465.579
275,0,546.0500000000001
276,0,231.918
277,0,170.981
278,0,130.81599999999997
279,0,110.623
280,0,129.03400000000002
281,0,1522.287
282,0,1306.51
283,0,755.293
284,0,690.8689999999999
285,0,586.005
286,0,631.034
287,0,393.564
288,0,160.841
289,0,148.506
290,0,112.986
291,0,108.78599999999999
292,0,102.73
293,0,100.755
294,0,98.645
295,0,90.548
296,0,98.938
297,0,92.563
298,0,100.508
299,0,90.521
300,0,100.59700000000001
301,0,100.586
302,0,90.71700000000001
303,0,90.709
304,0,90.709
305,0,100.57199999999999
306,0,90.634
307,0,90.644
308,0,90.89
309,0,90.599
310,0,100.68299999999999
311,0,110.829
312,0,110.75200000000001
313,0,110.667
314,0,100.631
315,0,90.60799999999999
316,0,100.701
317,0,90.626
318,0,92.91099999999999
319,0,142.204
320,0,119.89800000000001
321,0,130.736
322,0,130.928
323,0,120.756
324,0,110.932
325,0,102.70100000000001
326,0,111.221
327,0,90.655
328,0,98.703
329,0,100.728
330,0,100.553
331,0,90.634
332,0,92.726
333,0,102.647
334,0,98.553
335,0,100.566
336,0,92.42699999999999
337,0,100.621
338,0,108.697
339,0,92.59
340,0,90.545
341,0,100.625
342,0,90.687
343,0,100.865
344,0,100.87
345,0,110.744
346,0,100.606
347,0,110.902
348,0,100.602
349,0,108.768
350,0,110.626
351,0,100.59
352,0,102.71
353,0,100.73400000000001
354,0,130.73100000000002
355,0,106.644
356,0,111.69500000000001
357,0,102.623
358,0,102.806
359,0,100.71900000000001
360,0,102.601
361,0,100.82900000000001
362,0,98.65
363,0,90.641
364,0,178.991
365,0,122.696
366,0,100.89
367,0,100.586
368,0,118.749
369,0,140.953
370,0,151.07899999999998
371,0,110.648
372,0,110.645
373,0,118.952
374,0,102.615
375,0,100.602
376,0,101.85
377,0,105.99799999999999
378,0,91.19
379,0,98.81099999999999
380,0,90.571
381,0,92.549
382,0,99.03
383,0,92.264
384,0,100.81700000000001
385,0,98.623
386,0,112.54
387,0,119.458
