FNo,ObjectCount,Time,Type,Boxes
771,0,0.0,NA,NA
772,0,0.0,NA,NA
773,0,0.0,NA,NA
774,0,0.0,NA,NA
775,0,0.0,NA,NA
776,0,0.0,NA,NA
777,0,0.0,NA,NA
778,0,0.0,NA,NA
779,0,0.0,NA,NA
780,0,0.0,NA,NA
781,0,1.0,NA,NA
782,0,0.0,NA,NA
783,0,0.0,NA,NA
784,0,0.0,NA,NA
785,0,0.0,NA,NA
786,0,0.0,NA,NA
787,0,0.0,NA,NA
788,0,0.0,NA,NA
789,0,0.0,NA,NA
790,0,0.0,NA,NA
791,0,0.0,NA,NA
792,0,0.0,NA,NA
793,0,0.0,NA,NA
794,0,0.0,NA,NA
795,0,0.0,NA,NA
796,0,0.0,NA,NA
797,0,0.0,NA,NA
798,0,0.0,NA,NA
799,0,0.0,NA,NA
800,0,2.026,NA,NA
801,1,107.69099999999999,['Sedan'],"[[(99, 179), (313, 357)]]"
802,1,95.0,['Hatchback'],"[[(113, 176), (299, 359)]]"
803,1,89.35600000000001,['Sedan'],"[[(107, 177), (281, 359)]]"
804,1,80.778,['Sedan'],"[[(100, 178), (262, 360)]]"
805,1,88.134,['Sedan'],"[[(110, 175), (243, 359)]]"
806,1,103.291,['Hatchback'],"[[(116, 173), (234, 360)]]"
807,1,83.997,['Hatchback'],"[[(115, 174), (212, 350)]]"
808,1,68.998,['Hatchback'],"[[(118, 171), (199, 341)]]"
809,1,68.27900000000001,['Hatchback'],"[[(117, 171), (175, 320)]]"
810,1,101.998,['Hatchback'],"[[(115, 172), (165, 304)]]"
811,1,94.473,['Hatchback'],"[[(115, 171), (148, 289)]]"
812,1,116.643,['Hatchback'],"[[(114, 174), (130, 264)]]"
813,1,95.253,['Hatchback'],"[[(116, 171), (119, 254)]]"
814,1,84.657,['Hatchback'],"[[(117, 172), (91, 238)]]"
815,1,100.25399999999999,['Sedan'],"[[(118, 171), (81, 216)]]"
816,1,100.257,['Sedan'],"[[(118, 172), (66, 206)]]"
817,1,75.699,['Sedan'],"[[(120, 173), (45, 182)]]"
818,1,84.99900000000001,['Sedan'],"[[(116, 168), (36, 172)]]"
819,1,93.129,['Sedan'],"[[(117, 169), (10, 153)]]"
820,1,93.637,['Hatchback'],"[[(116, 170), (0, 136)]]"
821,1,102.887,['Hatchback'],"[[(113, 172), (0, 128)]]"
822,1,82.135,['Sedan'],"[[(120, 171), (0, 106)]]"
823,1,84.642,['Hatchback'],"[[(116, 172), (0, 86)]]"
824,1,84.637,['Hatchback'],"[[(108, 172), (0, 68)]]"
825,1,100.263,['Hatchback'],"[[(101, 175), (3, 48)]]"
826,0,0.0,NA,NA
827,0,0.0,NA,NA
828,0,0.0,NA,NA
829,0,0.0,NA,NA
830,0,0.0,NA,NA
831,0,0.0,NA,NA
832,0,0.0,NA,NA
833,0,0.0,NA,NA
834,0,0.0,NA,NA
835,0,0.0,NA,NA
836,0,0.0,NA,NA
837,0,0.0,NA,NA
838,0,0.0,NA,NA
839,0,0.0,NA,NA
840,0,0.0,NA,NA
841,1,89.897,['Hatchback'],"[[(159, 258), (2, 120)]]"
842,0,0.0,NA,NA
843,0,0.0,NA,NA
844,1,79.42200000000001,['Hatchback'],"[[(173, 260), (4, 183)]]"
845,0,0.0,NA,NA
846,0,0.0,NA,NA
847,1,69.01100000000001,['Hatchback'],"[[(178, 259), (60, 250)]]"
848,1,78.123,['Hatchback'],"[[(191, 254), (82, 271)]]"
849,0,0.0,NA,NA
850,1,79.266,['Hatchback'],"[[(179, 259), (116, 317)]]"
851,1,84.69,['Hatchback'],"[[(176, 261), (138, 342)]]"
852,1,87.63600000000001,['Hatchback'],"[[(177, 263), (164, 356)]]"
853,0,0.0,NA,NA
854,1,115.777,['Hatchback'],"[[(189, 253), (212, 357)]]"
855,1,115.882,['Hatchback'],"[[(186, 253), (239, 357)]]"
856,1,100.835,['Sedan'],"[[(187, 252), (254, 360)]]"
857,1,101.994,['Hatchback'],"[[(185, 257), (275, 360)]]"
858,1,120.802,['Sedan'],"[[(175, 262), (293, 360)]]"
859,0,0.0,NA,NA
860,0,0.0,NA,NA
861,0,0.0,NA,NA
862,0,0.0,NA,NA
863,0,0.0,NA,NA
864,0,0.0,NA,NA
